Country,Total Interviews,Unique Interview Modes
Afghanistan,17137,"Face-to-Face, Face-to-Face (HH)*, Face-to-Face (HH)* and Face-to-Face, Face-to-Face (HH)* and PAPI"
Albania,18150,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Algeria,13992,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone, Mobile Telephone"
Angola,4000,Face-to-Face
Argentina,19072,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Armenia,19086,"Face-to-Face, Face-to-Face (HH)*"
Australia,19288,"Landline Telephone, Landline and Mobile Telephone, Landline, Mobile Telephone and Web"
Austria,19034,"Landline Telephone, Landline and Mobile Telephone, Landline, Mobile Telephone and Web"
Azerbaijan,17108,"Face-to-Face, Face-to-Face (HH)*"
Bahrain,18388,"Face-to-Face, Landline and Mobile Telephone, Mobile Telephone"
Bangladesh,23333,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Belarus,14829,"Face-to-Face, Face-to-Face (HH)*"
Belgium,19134,"Landline Telephone, Landline and Mobile Telephone, Landline, Mobile Telephone and Web"
Belize,1515,"Face-to-Face, Face-to-Face (HH)*"
Benin,16042,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Bhutan,3040,"Face-to-Face, Face-to-Face (HH)*"
Bolivia,20008,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Bosnia and Herzegovina,19140,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Botswana,15124,"Face-to-Face, Face-to-Face (HH)*"
Brazil,22243,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Bulgaria,16092,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Burkina Faso,17015,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Burundi,6000,"Face-to-Face, Face-to-Face (HH)*"
Cambodia,19626,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Cameroon,20200,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Canada,22592,"Landline Telephone, Landline and Mobile Telephone, Mobile Telephone and Web"
Central African Republic,5000,"Face-to-Face, Face-to-Face (HH)*"
Chad,17111,"Face-to-Face, Face-to-Face (HH)*"
Chile,19348,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
China,73646,"Face-to-Face, Face-to-Face (HH)*, Face-to-Face, Telephone, Landline Telephone and Face-to-Face, Landline, Mobile Telephone and Face-to-Face (HH)*, Mobile Telephone, Web"
Colombia,19003,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Comoros,12001,"Face-to-Face, Face-to-Face (HH)*"
Congo,27092,"Face-to-Face, Face-to-Face (HH)*"
Costa Rica,19014,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Cote D'Ivoire,13029,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Croatia,18158,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Cuba,1000,Face-to-Face
Cyprus,16694,"Landline Telephone, Landline and Mobile Telephone, Mobile Telephone"
Czech Republic,18191,"Face-to-Face, Face-to-Face (HH)*, Landline Telephone and Face-to-Face, Landline and Mobile Telephone, Landline, Mobile Telephone and Web"
Denmark,19829,"Landline Telephone, Landline and Mobile Telephone, Mobile Telephone, Mobile Telephone / Web"
Djibouti,5000,"Face-to-Face, Face-to-Face (HH)*"
Dominican Republic,19079,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Ecuador,19135,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Egypt,30001,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
El Salvador,19089,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Estonia,17353,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Eswatini,3043,Face-to-Face (HH)*
Ethiopia,14230,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Finland,18822,"Landline and Mobile Telephone, Mobile Telephone, Mobile Telephone and Web"
France,21014,"Landline Telephone, Landline and Mobile Telephone, Landline and Mobile Telephone/Web"
Gabon,14086,"Face-to-Face (HH)*, Mobile Telephone"
Gambia,6136,Face-to-Face (HH)*
Georgia,19164,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Germany,43376,"Landline Telephone, Landline and Mobile Telephone, Landline and Mobile Telephone/Web"
Ghana,19018,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Greece,19103,"Face-to-Face, Face-to-Face (HH)*, Landline Telephone, Landline and Mobile Telephone, Landline, Mobile Telephone and Web"
Guatemala,17150,"Face-to-Face, Face-to-Face (HH)*"
Guinea,14153,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Guyana,501,Face-to-Face
Haiti,5537,"Face-to-Face, Face-to-Face (HH)*"
Honduras,18013,"Face-to-Face, Face-to-Face (HH)*"
"Hong Kong, S.A.R. of China",15156,"Landline Telephone, Landline and Mobile Telephone, Landline, Mobile Telephone and Web"
Hungary,19204,"Face-to-Face, Face-to-Face (HH)*, Landline Telephone and Face-to-Face, Landline and Mobile Telephone"
Iceland,6643,"Landline Telephone, Landline and Mobile Telephone"
India,77125,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Indonesia,22782,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Iran,20966,"Face-to-Face, Landline Telephone, Landline and Mobile Telephone"
Iraq,22203,"Face-to-Face, Face-to-Face (HH)*, Face-to-Face (HH)* and Face-to-Face, Face-to-Face (HH)* and PAPI, Landline and Mobile Telephone, Mobile Telephone"
Ireland,18529,"Landline Telephone, Landline and Mobile Telephone, Landline, Mobile Telephone and Web"
Israel,19169,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Italy,21073,"Landline Telephone, Landline and Mobile Telephone, Landline and Mobile Telephone/Web"
Jamaica,4569,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Japan,23236,"Landline Telephone, Landline and Mobile Telephone, Landline and Mobile Telephone/Web"
Jordan,23072,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Kazakhstan,19080,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Kenya,20214,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Kosovo,18271,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Kuwait,19126,"Face-to-Face, Landline and Mobile Telephone, Mobile Telephone"
Kyrgyzstan,19081,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Lao People's Democratic Republic,14575,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Latvia,17211,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Lebanon,24149,"Face-to-Face, Face-to-Face (HH)*, Face-to-Face (Landline Telephone in Tripoli), Landline and Mobile Telephone"
Lesotho,6030,"Face-to-Face, Face-to-Face (HH)*"
Liberia,14001,"Face-to-Face, Face-to-Face (HH)*"
Libya,9076,"Face-to-Face, Mobile Telephone"
Lithuania,19135,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone, Mobile Telephone"
Luxembourg,13028,"Landline Telephone, Landline and Mobile Telephone"
Macedonia,12193,"Face-to-Face, Face-to-Face (HH)*"
Madagascar,15016,"Face-to-Face, Face-to-Face (HH)*"
Malawi,16004,"Face-to-Face, Face-to-Face (HH)*"
Malaysia,18326,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone, Mobile Telephone"
Maldives,1000,Face-to-Face (HH)*
Mali,18130,"Face-to-Face, Face-to-Face (HH)*"
Malta,17105,"Landline Telephone, Landline and Mobile Telephone"
Mauritania,19092,"Face-to-Face, Face-to-Face (HH)*"
Mauritius,12059,"Face-to-Face, Landline and Mobile Telephone"
Mexico,20137,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Moldova,19080,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Mongolia,17070,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Montenegro,16921,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone"
Morocco,17146,"Face-to-Face, Face-to-Face (HH)*, Landline and Mobile Telephone, Mobile Telephone"
Mozambique,12000,"Face-to-Face, Face-to-Face (HH)*"
Myanmar,13801,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Nagorno- Karabakh region,1000,Face-to-Face
Namibia,10011,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Nepal,21202,"Face-to-Face, Face-to-Face (HH)*, Mobile Telephone"
Netherlands,18821,"Landline Telephone, Landline and Mobile Telephone, Landline, Mobile Telephone and Web"
New Zealand,18844,"Landline Telephone, Landline and Mobile Telephone, Landline, Mobile Telephone and Web"
